Price;Change %;Date
204.58;;31-12-2020
203.32;0.62%;30-12-2020
204.0;-0.33%;29-12-2020
204.02;;28-12-2020
203.81;;27-12-2020
203.6;-0.01%;26-12-2020
203.4;0.41%;25-12-2020
203.19;0.32%;24-12-2020
202.54;0.16%;23-12-2020
202.21;0.30%;22-12-2020
201.61;;21-12-2020
202.03;;20-12-2020
202.44;-0.62%;19-12-2020
202.86;-0.24%;18-12-2020
203.34;0.30%;17-12-2020
202.74;0.14%;16-12-2020
202.46;0.70%;15-12-2020
201.05;;14-12-2020
201.2;;13-12-2020
201.36;-0.23%;12-12-2020
201.51;0.01%;11-12-2020
201.49;-0.44%;10-12-2020
202.39;-0.29%;09-12-2020
202.97;0.40%;08-12-2020
202.16;;07-12-2020
202.21;;06-12-2020
202.25;-0.07%;05-12-2020
202.3;0.85%;04-12-2020
200.6;-0.38%;03-12-2020
201.37;-0.18%;02-12-2020
201.74;0.42%;01-12-2020
200.89;;30-11-2020
201.43;;29-11-2020
201.97;;28-11-2020
202.51;-0.80%;27-11-2020
202.27;0.12%;26-11-2020
202.21;0.03%;25-11-2020
202.68;-0.23%;24-11-2020
200.43;;23-11-2020
200.05;;22-11-2020
199.67;1.12%;21-11-2020
199.29;0.57%;20-11-2020
200.01;-0.36%;19-11-2020
199.15;0.43%;18-11-2020
200.32;-0.58%;17-11-2020
201.2;;16-11-2020
200.45;;15-11-2020
199.7;-0.44%;14-11-2020
198.95;1.13%;13-11-2020
197.34;0.82%;12-11-2020
199.88;-1.27%;11-11-2020
196.96;1.48%;10-11-2020
196.7;;09-11-2020
195.58;;08-11-2020
194.46;0.13%;07-11-2020
193.34;1.74%;06-11-2020
193.83;-0.25%;05-11-2020
191.77;1.07%;04-11-2020
187.69;2.17%;03-11-2020
185.44;;02-11-2020
184.6;;01-11-2020
183.77;1.21%;31-10-2020
182.93;1.37%;30-10-2020
184.8;-1.01%;29-10-2020
182.37;1.33%;28-10-2020
186.83;-2.39%;27-10-2020
187.91;;26-10-2020
188.88;;25-10-2020
