Price;Date
253.84;31-12-2020
253.84;30-12-2020
253.82;29-12-2020
253.55;28-12-2020
253.68;27-12-2020
253.8;26-12-2020
253.93;25-12-2020
254.05;24-12-2020
254.18;23-12-2020
255.13;22-12-2020
254.41;21-12-2020
254.39;20-12-2020
254.37;19-12-2020
254.35;18-12-2020
254.5;17-12-2020
255.09;16-12-2020
255.23;15-12-2020
255.52;14-12-2020
255.63;13-12-2020
255.73;12-12-2020
255.84;11-12-2020
255.41;10-12-2020
255.69;09-12-2020
255.16;08-12-2020
254.72;07-12-2020
254.39;06-12-2020
254.07;05-12-2020
253.74;04-12-2020
252.75;03-12-2020
255.63;02-12-2020
255.2;01-12-2020
257.43;30-11-2020
257.48;29-11-2020
257.52;28-11-2020
257.57;27-11-2020
258.01;26-11-2020
257.88;25-11-2020
257.63;24-11-2020
258.78;23-11-2020
258.8;22-11-2020
258.83;21-11-2020
258.85;20-11-2020
258.47;19-11-2020
258.41;18-11-2020
257.67;17-11-2020
257.6;16-11-2020
258.11;15-11-2020
258.61;14-11-2020
259.12;13-11-2020
257.51;12-11-2020
258.87;11-11-2020
256.72;10-11-2020
258.53;09-11-2020
258.51;08-11-2020
258.49;07-11-2020
258.47;06-11-2020
259.67;05-11-2020
260.6;04-11-2020
259.37;03-11-2020
260.66;02-11-2020
260.54;01-11-2020
260.42;31-10-2020
260.3;30-10-2020
260.61;29-10-2020
259.17;28-10-2020
258.5;27-10-2020
257.9;26-10-2020
257.5;25-10-2020
257.11;24-10-2020
256.71;23-10-2020
257.34;22-10-2020
258.75;21-10-2020
257.98;20-10-2020
258.5;19-10-2020
259.0;18-10-2020
259.49;17-10-2020
259.99;16-10-2020
259.89;15-10-2020
259.56;14-10-2020
258.95;13-10-2020
258.14;12-10-2020
257.93;11-10-2020
257.72;10-10-2020
257.51;09-10-2020
257.62;08-10-2020
257.47;07-10-2020
257.45;06-10-2020
257.65;05-10-2020
258.23;04-10-2020
258.8;03-10-2020
259.38;02-10-2020
258.68;01-10-2020
258.42;30-09-2020
259.3;29-09-2020
260.13;28-09-2020
260.27;27-09-2020
260.42;26-09-2020
260.56;25-09-2020
260.03;24-09-2020
259.79;23-09-2020
259.37;22-09-2020
259.13;21-09-2020
258.63;20-09-2020
258.13;19-09-2020
257.63;18-09-2020
258.34;17-09-2020
257.78;16-09-2020
257.08;15-09-2020
256.19;14-09-2020
256.25;13-09-2020
256.31;12-09-2020
256.37;11-09-2020
255.36;10-09-2020
256.25;09-09-2020
257.25;08-09-2020
255.51;07-09-2020
255.85;06-09-2020
256.2;05-09-2020
256.54;04-09-2020
257.71;03-09-2020
257.81;02-09-2020
254.04;01-09-2020
254.31;31-08-2020
254.67;30-08-2020
255.04;29-08-2020
255.4;28-08-2020
256.16;27-08-2020
256.54;26-08-2020
256.57;25-08-2020
257.78;24-08-2020
257.9;23-08-2020
258.03;22-08-2020
258.15;21-08-2020
257.18;20-08-2020
256.52;19-08-2020
255.66;18-08-2020
256.41;17-08-2020
256.29;16-08-2020
256.17;15-08-2020
256.05;14-08-2020
256.34;13-08-2020
257.15;12-08-2020
257.95;11-08-2020
259.31;10-08-2020
259.26;09-08-2020
259.2;08-08-2020
259.15;07-08-2020
259.62;06-08-2020
257.7;05-08-2020
259.31;04-08-2020
259.49;03-08-2020
259.33;02-08-2020
259.17;01-08-2020
259.01;31-07-2020
258.59;30-07-2020
