Price;Date
80.62;31-12-2020
80.42;30-12-2020
80.86;29-12-2020
80.71;28-12-2020
80.56;27-12-2020
80.41;26-12-2020
80.26;25-12-2020
80.11;24-12-2020
80.4;23-12-2020
81.39;22-12-2020
81.39;21-12-2020
81.15;20-12-2020
80.91;19-12-2020
80.67;18-12-2020
80.11;17-12-2020
80.51;16-12-2020
80.76;15-12-2020
81.31;14-12-2020
81.57;13-12-2020
81.82;12-12-2020
82.08;11-12-2020
81.51;10-12-2020
80.83;09-12-2020
81.13;08-12-2020
81.14;07-12-2020
80.86;06-12-2020
80.57;05-12-2020
80.29;04-12-2020
80.44;03-12-2020
80.94;02-12-2020
80.58;01-12-2020
80.97;30-11-2020
80.96;29-11-2020
80.94;28-11-2020
80.93;27-11-2020
80.77;26-11-2020
80.39;25-11-2020
80.53;24-11-2020
80.72;23-11-2020
80.73;22-11-2020
80.74;21-11-2020
80.75;20-11-2020
80.97;19-11-2020
80.54;18-11-2020
80.6;17-11-2020
80.78;16-11-2020
80.77;15-11-2020
80.77;14-11-2020
80.76;13-11-2020
80.74;12-11-2020
80.1;11-11-2020
80.19;10-11-2020
80.68;09-11-2020
80.8;08-11-2020
80.92;07-11-2020
81.04;06-11-2020
81.39;05-11-2020
81.58;04-11-2020
80.44;03-11-2020
81.32;02-11-2020
81.16;01-11-2020
81.01;31-10-2020
80.85;30-10-2020
81.33;29-10-2020
81.23;28-10-2020
80.97;27-10-2020
81.05;26-10-2020
80.99;25-10-2020
80.92;24-10-2020
80.86;23-10-2020
80.5;22-10-2020
80.5;21-10-2020
81.5;20-10-2020
81.39;19-10-2020
81.5;18-10-2020
81.61;17-10-2020
81.72;16-10-2020
81.69;15-10-2020
81.19;14-10-2020
81.39;13-10-2020
80.82;12-10-2020
80.9;11-10-2020
80.99;10-10-2020
81.07;09-10-2020
81.39;08-10-2020
81.32;07-10-2020
81.11;06-10-2020
81.03;05-10-2020
81.07;04-10-2020
81.1;03-10-2020
81.14;02-10-2020
81.42;01-10-2020
81.26;30-09-2020
81.72;29-09-2020
81.49;28-09-2020
81.72;27-09-2020
81.95;26-09-2020
82.18;25-09-2020
82.25;24-09-2020
82.39;23-09-2020
82.58;22-09-2020
82.38;21-09-2020
82.17;20-09-2020
81.95;19-09-2020
81.74;18-09-2020
81.75;17-09-2020
82.35;16-09-2020
83.1;15-09-2020
83.0;14-09-2020
83.14;13-09-2020
83.29;12-09-2020
83.43;11-09-2020
82.74;10-09-2020
81.91;09-09-2020
81.86;08-09-2020
81.02;07-09-2020
80.97;06-09-2020
80.93;05-09-2020
80.88;04-09-2020
80.86;03-09-2020
80.68;02-09-2020
79.69;01-09-2020
79.74;31-08-2020
79.79;30-08-2020
79.84;29-08-2020
79.89;28-08-2020
80.44;27-08-2020
80.68;26-08-2020
81.13;25-08-2020
81.81;24-08-2020
81.75;23-08-2020
81.68;22-08-2020
81.62;21-08-2020
81.24;20-08-2020
81.22;19-08-2020
80.93;18-08-2020
81.54;17-08-2020
81.48;16-08-2020
81.42;15-08-2020
81.36;14-08-2020
81.82;13-08-2020
82.11;12-08-2020
81.95;11-08-2020
82.33;10-08-2020
82.41;09-08-2020
82.49;08-08-2020
82.57;07-08-2020
82.34;06-08-2020
81.94;05-08-2020
82.31;04-08-2020
82.1;03-08-2020
81.95;02-08-2020
81.81;01-08-2020
81.66;31-07-2020
82.28;30-07-2020
82.5;29-07-2020
82.63;28-07-2020
83.07;27-07-2020
