ST,CB,PB,GO,CA,RETURN,VOLATILITY
1.0,0.0,0.0,0.0,0.0,5.133871216403718,7.801798333506005
0.8,0.2,0.0,0.0,0.0,4.89080411413869,6.2792987089352925
0.8,0.0,0.2,0.0,0.0,4.15131680887788,5.931651519069198
0.8,0.0,0.0,0.2,0.0,8.887923649052109,6.741445445222792
0.8,0.0,0.0,0.0,0.2,2.095096973122978,5.854363647316468
0.6,0.4,0.0,0.0,0.0,4.647737011873687,4.859985240085847
0.6,0.2,0.2,0.0,0.0,3.908249706612854,4.479341768853982
0.6,0.2,0.0,0.2,0.0,8.644856546787105,5.448498366270045
0.6,0.2,0.0,0.0,0.2,1.852029870857952,4.365530723975532
0.6,0.0,0.4,0.0,0.0,3.168762401352021,4.141608332512243
0.6,0.0,0.2,0.2,0.0,7.905369241526272,5.023107135032022
0.6,0.0,0.2,0.0,0.2,1.1125425655971188,4.050184783089307
0.6,0.0,0.0,0.4,0.0,12.641976081700523,6.2961945110338675
0.6,0.0,0.0,0.2,0.2,5.84914940577137,4.824347794655251
0.6,0.0,0.0,0.0,0.4,-0.9436772701577723,4.007016565474445
0.4,0.6,0.0,0.0,0.0,4.404669909608683,3.5905196887398927
0.4,0.4,0.2,0.0,0.0,3.6651826043478497,3.162576121405963
0.4,0.4,0.0,0.2,0.0,8.401789444522102,4.335430796358433
0.4,0.4,0.0,0.0,0.2,1.6089627685929475,3.005857016396324
0.4,0.2,0.4,0.0,0.0,2.9256952990870166,2.7818004570927117
0.4,0.2,0.2,0.2,0.0,7.662302139261268,3.8740590444293095
0.4,0.2,0.2,0.0,0.2,0.8694754633321145,2.6529296796465216
0.4,0.2,0.0,0.4,0.0,12.398908979435518,5.336342220019138
0.4,0.2,0.0,0.2,0.2,5.606082303506366,3.6213625045222466
0.4,0.2,0.0,0.0,0.4,-1.1867443724227766,2.594281263629515
0.4,0.0,0.6,0.0,0.0,2.1862079938261836,2.4718238713671505
0.4,0.0,0.4,0.2,0.0,6.922814834000457,3.4366096495935667
0.4,0.0,0.4,0.0,0.2,0.1299881580713036,2.386772960152546
0.4,0.0,0.2,0.4,0.0,11.659421674174686,4.887822626757836
0.4,0.0,0.2,0.2,0.2,4.8665949982455325,3.1840843041635853
0.4,0.0,0.2,0.0,0.4,-1.9262316776836097,2.3864766335668546
0.4,0.0,0.0,0.6,0.0,16.396028514348913,6.436386886417382
0.4,0.0,0.0,0.4,0.2,9.603201838419784,4.611357580326547
0.4,0.0,0.0,0.2,0.4,2.8103751624906526,2.963714325911333
0.4,0.0,0.0,0.0,0.6,-3.982451513438501,2.4783942904136538
0.2,0.8,0.0,0.0,0.0,4.161602807343656,2.5991028628487
0.2,0.6,0.2,0.0,0.0,3.4221155020828453,2.122641273310945
0.2,0.6,0.0,0.2,0.0,8.158722342257096,3.5094981538189662
0.2,0.6,0.0,0.0,0.2,1.3658956663279431,1.9220364793256184
0.2,0.4,0.4,0.0,0.0,2.68262819682199,1.6929731685434843
0.2,0.4,0.2,0.2,0.0,7.419235036996241,3.0283960987037415
0.2,0.4,0.2,0.0,0.2,0.6264083610670879,1.526159033134035
0.2,0.4,0.0,0.4,0.0,12.155841877170491,4.643107416277488
0.2,0.4,0.0,0.2,0.2,5.363015201241339,2.728954498889084
0.2,0.4,0.0,0.0,0.4,-1.4298114746878032,1.4769836758775807
0.2,0.2,0.6,0.0,0.0,1.943140891561157,1.3583499887610282
0.2,0.2,0.4,0.2,0.0,6.67974773173543,2.5691775667594285
0.2,0.2,0.4,0.0,0.2,-0.113078944193723,1.2658894252110606
0.2,0.2,0.2,0.4,0.0,11.41635457190966,4.196904611219549
0.2,0.2,0.2,0.2,0.2,4.623527895980528,2.2600694032002737
0.2,0.2,0.2,0.0,0.4,-2.169298779948625,1.3297012932242123
0.2,0.2,0.0,0.6,0.0,16.152961412083926,5.83060231064303
0.2,0.2,0.0,0.4,0.2,9.36013473615478,3.8941989783321813
0.2,0.2,0.0,0.2,0.4,2.567308060225626,1.9828387527631053
0.2,0.2,0.0,0.0,0.6,-4.225518615703527,1.541939953453055
0.2,0.0,0.8,0.0,0.0,1.2036535863003461,1.2044525070397485
0.2,0.0,0.6,0.2,0.0,5.940260426474575,2.1476857032309797
0.2,0.0,0.6,0.0,0.2,-0.8525662494545561,1.234007137539448
0.2,0.0,0.4,0.4,0.0,10.676867266648848,3.7698806637798823
0.2,0.0,0.4,0.2,0.2,3.884040590719695,1.83556267394041
0.2,0.0,0.4,0.0,0.4,-2.9087860852094582,1.4223438611672745
0.2,0.0,0.2,0.6,0.0,15.413474106823092,5.4164738451011285
0.2,0.0,0.2,0.4,0.2,8.620647430893946,3.4577968163664394
0.2,0.0,0.2,0.2,0.4,1.827820754964793,1.568022204468075
0.2,0.0,0.2,0.0,0.6,-4.96500592096435,1.728748109684244
0.2,0.0,0.0,0.8,0.0,20.150080946997328,7.0146433798665795
0.2,0.0,0.0,0.6,0.2,13.357254271068175,5.13058864009558
0.2,0.0,0.0,0.4,0.4,6.564427595139044,3.155506650753908
0.2,0.0,0.0,0.2,0.6,-0.2283990807901093,1.3821293954172666
0.2,0.0,0.0,0.0,0.8,-7.021225756719263,2.111763497506648
0.0,1.0,0.0,0.0,0.0,3.9185357050786296,2.183350850315046
0.0,0.8,0.2,0.0,0.0,3.1790483998178187,1.7700730252915953
0.0,0.8,0.0,0.2,0.0,7.91565523999207,3.135654700149771
0.0,0.8,0.0,0.0,0.2,1.1228285640629165,1.6046587635495446
0.0,0.6,0.4,0.0,0.0,2.4395610945569857,1.447085682461132
0.0,0.6,0.2,0.2,0.0,7.176167934731215,2.7027768181186165
0.0,0.6,0.2,0.0,0.2,0.3833412588020835,1.3482206890202901
0.0,0.6,0.0,0.4,0.0,11.912774774905488,4.300788078160624
0.0,0.6,0.0,0.2,0.2,5.119948098976335,2.41701130272436
0.0,0.6,0.0,0.0,0.4,-1.6728785769528187,1.3897803318066724
0.0,0.4,0.6,0.0,0.0,1.7000737892961304,1.2874318617912546
0.0,0.4,0.4,0.2,0.0,6.436680629470404,2.3105081010729895
0.0,0.4,0.4,0.0,0.2,-0.3561460464587496,1.29698554658966
0.0,0.4,0.2,0.4,0.0,11.173287469644633,3.8948444440323806
0.0,0.4,0.2,0.2,0.2,4.380460793715502,2.0285618322039993
0.0,0.4,0.2,0.0,0.4,-2.412365882213652,1.454558997189086
0.0,0.4,0.0,0.6,0.0,15.909894309818897,5.504065981792375
0.0,0.4,0.0,0.4,0.2,9.117067633889754,3.6031153488861585
0.0,0.4,0.0,0.2,0.4,2.3242409579605994,1.791988116056456
0.0,0.4,0.0,0.0,0.6,-4.468585717968542,1.7299893806347195
0.0,0.2,0.8,0.0,0.0,0.9605864840353195,1.3532537337478934
0.0,0.2,0.6,0.2,0.0,5.6971933242095485,1.9849053449172565
0.0,0.2,0.6,0.0,0.2,-1.0956333517195826,1.4753188758405877
0.0,0.2,0.4,0.4,0.0,10.433800164383822,3.5174445330633795
0.0,0.2,0.4,0.2,0.2,3.6409734884546685,1.724442678318346
0.0,0.2,0.4,0.0,0.4,-3.1518531874744737,1.717670623934566
0.0,0.2,0.2,0.6,0.0,15.170407004558065,5.123632960444965
0.0,0.2,0.2,0.4,0.2,8.37758032862892,3.223007556381118
0.0,0.2,0.2,0.2,0.4,1.5847536526997663,1.5307398028590735
0.0,0.2,0.2,0.0,0.6,-5.208073023229376,2.0466602138085985
0.0,0.2,0.0,0.8,0.0,19.907013844732326,6.694657288054513
0.0,0.2,0.0,0.6,0.2,13.114187168803173,4.847040847758875
0.0,0.2,0.0,0.4,0.4,6.3213604928740175,2.943507738268419
0.0,0.2,0.0,0.2,0.6,-0.4714661830551248,1.44123018794762
0.0,0.2,0.0,0.0,0.8,-7.264292858984279,2.4353610377961847
0.0,0.0,1.0,0.0,0.0,0.22109917877447544,1.619712907854186
0.0,0.0,0.8,0.2,0.0,4.957706018948738,1.7653560966915787
0.0,0.0,0.8,0.0,0.2,-1.8351206569804157,1.819123179497239
0.0,0.0,0.6,0.4,0.0,9.694312859122967,3.179818419868984
0.0,0.0,0.6,0.2,0.2,2.9014861831938354,1.5573871874740661
0.0,0.0,0.6,0.0,0.4,-3.891340492735318,2.108115027184802
0.0,0.0,0.4,0.6,0.0,14.430919699297231,4.765431920063649
0.0,0.0,0.4,0.4,0.2,7.638093023368087,2.8888517016053523
0.0,0.0,0.4,0.2,0.4,0.8452663474389333,1.4446255232438552
0.0,0.0,0.4,0.0,0.6,-5.947560328490198,2.462877680871009
0.0,0.0,0.2,0.8,0.0,19.167526539471492,6.335105216914955
0.0,0.0,0.2,0.6,0.2,12.374699863542341,4.485741719056689
0.0,0.0,0.2,0.4,0.4,5.581873187613184,2.618122697593118
0.0,0.0,0.2,0.2,0.6,-1.2109534883159578,1.4597996733767937
