Price;Vol.;Change %;Date
178.36;;0.37;01-01-2020
178.36;7.54M;0.37;02-01-2020
177.7;5.91M;0.77;03-01-2020
177.25;;0.63;04-01-2020
176.8;;0.5;05-01-2020
176.35;5.98M;0.36;06-01-2020
175.71;7.78M;-0.36;07-01-2020
176.35;3.70M;0.4;08-01-2020
175.65;6.54M;0.66;09-01-2020
174.49;9.45M;-0.79;10-01-2020
174.95;;-0.63;11-01-2020
175.42;;-0.48;12-01-2020
175.88;8.17M;-0.32;13-01-2020
176.44;6.79M;-0.17;14-01-2020
176.74;9.48M;1.05;15-01-2020
174.9;8.17M;0.55;16-01-2020
173.94;6.85M;1.4;17-01-2020
173.34;;0.91;18-01-2020
172.74;;0.42;19-01-2020
172.14;;-0.06;20-01-2020
171.54;7.64M;-0.55;21-01-2020
172.49;6.08M;0.19;22-01-2020
172.17;6.56M;-0.19;23-01-2020
172.5;10.74M;-1.71;24-01-2020
173.5;;-1.02;25-01-2020
174.5;;-0.34;26-01-2020
175.5;6.35M;0.35;27-01-2020
174.89;10.56M;1.49;28-01-2020
172.32;10.10M;-0.28;29-01-2020
172.81;10.46M;0.79;30-01-2020
171.46;9.20M;0.75;31-01-2020
171.03;;1.2;01-02-2020
170.61;;1.66;02-02-2020
170.18;13.56M;2.11;03-02-2020
166.67;13.21M;-0.67;04-02-2020
167.79;10.57M;-1.01;05-02-2020
169.51;10.29M;-0.05;06-02-2020
169.59;19.50M;-1.53;07-02-2020
170.47;;-1.68;08-02-2020
171.35;;-1.82;09-02-2020
172.23;15.51M;-1.97;10-02-2020
175.69;6.38M;0.3;11-02-2020
175.16;6.97M;-0.19;12-02-2020
175.49;7.38M;-0.57;13-02-2020
176.5;8.23M;-0.37;14-02-2020
176.66;;-0.28;15-02-2020
176.82;;-0.19;16-02-2020
176.99;;-0.1;17-02-2020
177.15;8.36M;-0.01;18-02-2020
177.16;6.47M;0.68;19-02-2020
175.96;7.18M;0.61;20-02-2020
174.9;9.01M;-0.43;21-02-2020
175.15;;-0.18;22-02-2020
175.41;;0.08;23-02-2020
175.66;11.73M;0.33;24-02-2020
175.08;29.80M;-4.43;25-02-2020
183.19;10.38M;0.14;26-02-2020
182.93;16.10M;2.3;27-02-2020
178.82;11.12M;-0.06;28-02-2020
178.85;;0.15;29-02-2020
178.89;;0.36;01-03-2020
178.92;7.58M;0.57;02-03-2020
177.91;6.50M;0.97;03-03-2020
176.2;7.30M;0.46;04-03-2020
175.4;8.47M;-0.41;05-03-2020
176.13;11.73M;-1.61;06-03-2020
177.09;;-0.99;07-03-2020
178.06;;-0.36;08-03-2020
179.02;5.83M;0.26;09-03-2020
178.55;5.11M;-0.05;10-03-2020
178.64;5.92M;-0.11;11-03-2020
178.83;8.38M;-0.98;12-03-2020
180.6;7.55M;0.75;13-03-2020
180.15;;0.66;14-03-2020
179.7;;0.57;15-03-2020
179.25;7.12M;0.48;16-03-2020
178.39;6.08M;0.05;17-03-2020
178.3;7.26M;-0.35;18-03-2020
178.92;6.82M;0.36;19-03-2020
178.27;9.10M;0.31;20-03-2020
178.09;;-0.32;21-03-2020
177.9;;-0.94;22-03-2020
177.72;8.38M;-1.57;23-03-2020
180.56;4.84M;-0.29;24-03-2020
181.08;15.98M;1.82;25-03-2020
177.85;6.53M;0.36;26-03-2020
177.22;6.41M;-0.05;27-03-2020
177.25;;-0.43;28-03-2020
177.27;;-0.8;29-03-2020
177.3;8.63M;-1.18;30-03-2020
179.41;6.97M;0.49;31-03-2020
178.54;-;0.0;01-04-2020
178.54;-;0.0;02-04-2020
178.54;7.49M;-0.09;03-04-2020
178.59;;0.24;04-04-2020
178.65;;0.56;05-04-2020
178.7;10.40M;0.89;06-04-2020
177.12;8.37M;-0.6;07-04-2020
178.19;8.76M;0.84;08-04-2020
176.7;7.11M;1.01;09-04-2020
176.26;;0.76;10-04-2020
175.82;;0.5;11-04-2020
175.38;;0.25;12-04-2020
174.94;-;0.0;13-04-2020
174.94;-;0.0;14-04-2020
174.94;6.78M;-0.28;15-04-2020
175.44;11.76M;0.37;16-04-2020
174.79;18.13M;-2.16;17-04-2020
176.08;;-1.6;18-04-2020
177.36;;-1.04;19-04-2020
178.65;7.98M;-0.48;20-04-2020
179.52;17.44M;-2.01;21-04-2020
183.2;9.96M;0.13;22-04-2020
182.96;8.84M;-0.55;23-04-2020
183.97;12.72M;0.28;24-04-2020
183.8;;0.11;25-04-2020
183.62;;-0.07;26-04-2020
183.45;7.99M;-0.24;27-04-2020
183.89;9.71M;0.79;28-04-2020
182.45;-;0.0;29-04-2020
182.45;7.66M;-0.01;30-04-2020
182.46;9.14M;-0.32;01-05-2020
183.05;8.42M;0.97;02-05-2020
181.29;13.23M;-0.19;03-05-2020
181.64;11.57M;0.28;04-05-2020
181.14;12.18M;-0.81;05-05-2020
182.62;11.54M;-1.31;06-05-2020
185.05;10.69M;0.12;07-05-2020
184.83;10.25M;0.24;08-05-2020
184.39;-;0.0;09-05-2020
184.39;13.20M;1.74;10-05-2020
181.24;16.30M;-1.16;11-05-2020
183.36;12.72M;1.18;12-05-2020
181.22;10.06M;0.12;13-05-2020
181.0;11.61M;-0.57;14-05-2020
182.03;-;0.0;15-05-2020
182.03;;-0.27;16-05-2020
182.03;;-0.53;17-05-2020
182.03;12.71M;-0.8;18-05-2020
183.5;16.69M;0.69;19-05-2020
182.24;24.65M;-3.16;20-05-2020
188.18;16.29M;0.9;21-05-2020
186.5;15.71M;2.17;22-05-2020
185.51;;1.52;23-05-2020
184.52;;0.87;24-05-2020
183.53;;0.22;25-05-2020
182.54;11.79M;-0.43;26-05-2020
183.33;18.60M;2.36;27-05-2020
179.1;28.78M;-0.47;28-05-2020
179.94;45.35M;-5.37;29-05-2020
183.34;;-3.7;30-05-2020
186.75;;-2.02;31-05-2020
190.15;19.05M;-0.35;01-06-2020
190.81;-;0.0;02-06-2020
190.81;-;0.0;03-06-2020
190.81;24.57M;-1.59;04-06-2020
193.89;20.64M;1.33;05-06-2020
192.62;;1.13;06-06-2020
191.35;27.19M;0.93;07-06-2020
189.59;20.77M;2.13;08-06-2020
185.64;12.90M;0.11;09-06-2020
185.43;-;0.0;10-06-2020
185.43;15.89M;0.91;11-06-2020
183.76;18.06M;-0.74;12-06-2020
184.22;;-0.24;13-06-2020
184.67;;0.25;14-06-2020
185.13;25.64M;0.75;15-06-2020
183.75;21.16M;0.83;16-06-2020
182.23;21.12M;1.98;17-06-2020
178.7;-;0.0;18-06-2020
178.7;-;0.0;19-06-2020
178.7;;0.29;20-06-2020
178.7;;0.57;21-06-2020
178.7;15.60M;0.86;22-06-2020
177.18;23.01M;0.88;23-06-2020
175.63;18.71M;1.52;24-06-2020
173.0;12.86M;1.21;25-06-2020
170.94;10.10M;0.48;26-06-2020
170.67;;0.59;27-06-2020
170.39;;0.71;28-06-2020
170.12;10.30M;0.82;29-06-2020
168.73;10.24M;-0.95;30-06-2020
170.34;7.53M;0.09;01-07-2020
170.19;9.81M;0.47;02-07-2020
169.8;;0.3;03-07-2020
169.4;11.10M;0.12;04-07-2020
169.19;-;0.0;05-07-2020
169.19;-;0.0;06-07-2020
169.19;8.22M;-0.26;07-07-2020
169.63;13.33M;-0.27;08-07-2020
170.09;11.66M;0.62;09-07-2020
169.04;11.63M;0.63;10-07-2020
167.98;7.27M;0.6;11-07-2020
166.98;-;0.0;12-07-2020
166.98;-;0.0;13-07-2020
166.98;8.75M;0.22;14-07-2020
166.62;13.21M;-0.45;15-07-2020
167.37;12.76M;0.44;16-07-2020
166.63;6.74M;0.05;17-07-2020
166.6;;0.18;18-07-2020
166.57;;0.32;19-07-2020
166.54;9.75M;0.45;20-07-2020
165.8;7.09M;-0.06;21-07-2020
165.9;10.90M;-0.35;22-07-2020
166.48;12.14M;0.84;23-07-2020
165.09;12.39M;0.65;24-07-2020
164.03;12.19M;1.1;25-07-2020
162.24;5.40M;-0.2;26-07-2020
162.56;4.76M;0.19;27-07-2020
162.25;7.97M;-0.05;28-07-2020
162.33;8.54M;-0.18;29-07-2020
162.62;6.90M;0.14;30-07-2020
162.39;11.67M;-0.72;31-07-2020
162.98;;0.36;01-08-2020
163.57;13.01M;1.43;02-08-2020
161.26;9.05M;0.96;03-08-2020
159.72;9.24M;1.08;04-08-2020
158.01;-;0.0;05-08-2020
158.01;16.02M;-2.03;06-08-2020
161.28;10.09M;1.05;07-08-2020
159.6;17.00M;-1.85;08-08-2020
162.6;10.39M;-0.65;09-08-2020
163.66;8.16M;0.46;10-08-2020
162.91;12.58M;0.74;11-08-2020
161.72;9.76M;0.34;12-08-2020
161.18;13.06M;0.18;13-08-2020
160.89;13.97M;-1.42;14-08-2020
161.66;;-0.75;15-08-2020
162.44;;-0.08;16-08-2020
163.21;8.54M;0.59;17-08-2020
162.25;11.79M;-1.46;18-08-2020
164.65;10.67M;0.24;19-08-2020
164.26;8.53M;0.97;20-08-2020
162.69;14.14M;-0.76;21-08-2020
163.31;;-0.1;22-08-2020
163.93;13.92M;0.56;23-08-2020
163.01;17.08M;0.89;24-08-2020
161.58;10.95M;0.96;25-08-2020
160.04;10.41M;0.39;26-08-2020
159.42;11.21M;-0.62;27-08-2020
160.42;-;0.0;28-08-2020
160.42;;0.0;29-08-2020
160.42;-;0.0;30-08-2020
160.42;12.24M;-0.6;31-08-2020
161.39;13.70M;1.54;01-09-2020
158.95;13.35M;-1.29;02-09-2020
161.02;10.56M;0.42;03-09-2020
160.34;7.99M;0.35;04-09-2020
160.2;;0.26;05-09-2020
160.06;;0.18;06-09-2020
159.92;;0.09;07-09-2020
