Price;Date
89.94;31-12-2020
89.68;30-12-2020
89.99;29-12-2020
90.34;28-12-2020
90.33;27-12-2020
90.33;26-12-2020
90.32;25-12-2020
90.32;24-12-2020
90.41;23-12-2020
90.65;22-12-2020
90.04;21-12-2020
90.03;20-12-2020
90.03;19-12-2020
90.02;18-12-2020
89.82;17-12-2020
90.45;16-12-2020
90.47;15-12-2020
90.71;14-12-2020
90.8;13-12-2020
90.89;12-12-2020
90.98;11-12-2020
90.82;10-12-2020
91.09;09-12-2020
90.97;08-12-2020
90.79;07-12-2020
90.76;06-12-2020
90.73;05-12-2020
90.7;04-12-2020
90.71;03-12-2020
91.12;02-12-2020
91.31;01-12-2020
91.87;30-11-2020
91.84;29-11-2020
91.82;28-11-2020
91.79;27-11-2020
91.99;26-11-2020
91.99;25-11-2020
92.23;24-11-2020
92.5;23-11-2020
92.46;22-11-2020
92.43;21-11-2020
92.39;20-11-2020
92.29;19-11-2020
92.32;18-11-2020
92.42;17-11-2020
92.64;16-11-2020
92.68;15-11-2020
92.71;14-11-2020
92.75;13-11-2020
92.96;12-11-2020
93.04;11-11-2020
92.75;10-11-2020
92.72;09-11-2020
92.56;08-11-2020
92.39;07-11-2020
92.23;06-11-2020
92.53;05-11-2020
93.41;04-11-2020
93.55;03-11-2020
94.13;02-11-2020
94.1;01-11-2020
94.07;31-10-2020
94.04;30-10-2020
93.95;29-10-2020
93.41;28-10-2020
92.94;27-10-2020
93.05;26-10-2020
92.96;25-10-2020
92.86;24-10-2020
92.77;23-10-2020
92.95;22-10-2020
92.61;21-10-2020
93.07;20-10-2020
93.43;19-10-2020
93.51;18-10-2020
93.6;17-10-2020
93.68;16-10-2020
93.86;15-10-2020
93.38;14-10-2020
93.53;13-10-2020
93.06;12-10-2020
93.06;11-10-2020
93.06;10-10-2020
93.06;09-10-2020
93.61;08-10-2020
93.63;07-10-2020
93.69;06-10-2020
93.51;05-10-2020
93.62;04-10-2020
93.73;03-10-2020
93.84;02-10-2020
93.71;01-10-2020
93.89;30-09-2020
93.89;29-09-2020
94.28;28-09-2020
94.4;27-09-2020
94.52;26-09-2020
94.64;25-09-2020
94.35;24-09-2020
94.39;23-09-2020
93.99;22-09-2020
93.66;21-09-2020
93.42;20-09-2020
93.17;19-09-2020
92.93;18-09-2020
92.97;17-09-2020
93.21;16-09-2020
93.05;15-09-2020
93.05;14-09-2020
93.14;13-09-2020
93.24;12-09-2020
93.33;11-09-2020
93.34;10-09-2020
93.25;09-09-2020
93.44;08-09-2020
92.72;07-09-2020
92.72;06-09-2020
92.72;05-09-2020
92.72;04-09-2020
92.74;03-09-2020
92.85;02-09-2020
92.34;01-09-2020
92.14;31-08-2020
92.22;30-08-2020
92.29;29-08-2020
92.37;28-08-2020
93.0;27-08-2020
93.01;26-08-2020
93.02;25-08-2020
93.3;24-08-2020
93.28;23-08-2020
93.27;22-08-2020
93.25;21-08-2020
92.79;20-08-2020
92.89;19-08-2020
92.27;18-08-2020
92.85;17-08-2020
92.93;16-08-2020
93.02;15-08-2020
93.1;14-08-2020
93.33;13-08-2020
93.44;12-08-2020
93.63;11-08-2020
93.58;10-08-2020
93.53;09-08-2020
93.49;08-08-2020
93.44;07-08-2020
92.79;06-08-2020
92.87;05-08-2020
93.38;04-08-2020
93.54;03-08-2020
93.48;02-08-2020
93.41;01-08-2020
93.35;31-07-2020
93.02;30-07-2020
93.45;29-07-2020
93.7;28-07-2020
93.67;27-07-2020
93.93;26-07-2020
94.18;25-07-2020
94.44;24-07-2020
94.69;23-07-2020
94.99;22-07-2020
95.12;21-07-2020
95.83;20-07-2020
95.87;19-07-2020
95.9;18-07-2020
95.94;17-07-2020
96.35;16-07-2020
96.08;15-07-2020
96.26;14-07-2020
96.46;13-07-2020
96.52;12-07-2020
96.59;11-07-2020
96.65;10-07-2020
96.7;09-07-2020
96.43;08-07-2020
96.88;07-07-2020
96.72;06-07-2020
96.87;05-07-2020
97.02;04-07-2020
97.17;03-07-2020
97.32;02-07-2020
97.2;01-07-2020
97.39;30-06-2020
97.54;29-06-2020
97.5;28-06-2020
97.47;27-06-2020
97.43;26-06-2020
97.43;25-06-2020
97.15;24-06-2020
96.65;23-06-2020
97.04;22-06-2020
97.23;21-06-2020
97.43;20-06-2020
97.62;19-06-2020
97.42;18-06-2020
97.16;17-06-2020
96.96;16-06-2020
96.71;15-06-2020
96.91;14-06-2020
97.12;13-06-2020
97.32;12-06-2020
96.73;11-06-2020
95.96;10-06-2020
96.32;09-06-2020
96.62;08-06-2020
96.73;07-06-2020
96.83;06-06-2020
96.94;05-06-2020
96.68;04-06-2020
97.28;03-06-2020
97.67;02-06-2020
97.83;01-06-2020
98.0;31-05-2020
98.17;30-05-2020
98.34;29-05-2020
98.38;28-05-2020
99.06;27-05-2020
98.91;26-05-2020
99.86;25-05-2020
99.86;24-05-2020
99.86;23-05-2020
99.86;22-05-2020
99.37;21-05-2020
99.12;20-05-2020
99.37;19-05-2020
99.67;18-05-2020
99.91;17-05-2020
100.16;16-05-2020
100.4;15-05-2020
100.47;14-05-2020
100.24;13-05-2020
99.93;12-05-2020
100.24;11-05-2020
100.07;10-05-2020
99.9;09-05-2020
99.73;08-05-2020
99.89;07-05-2020
100.09;06-05-2020
99.71;05-05-2020
99.48;04-05-2020
99.35;03-05-2020
99.21;02-05-2020
99.08;01-05-2020
99.02;30-04-2020
99.56;29-04-2020
99.86;28-04-2020
100.04;27-04-2020
100.15;26-04-2020
100.27;25-04-2020
100.38;24-04-2020
100.43;23-04-2020
100.39;22-04-2020
100.26;21-04-2020
99.95;20-04-2020
99.89;19-04-2020
99.84;18-04-2020
99.78;17-04-2020
100.03;16-04-2020
99.46;15-04-2020
98.89;14-04-2020
99.35;13-04-2020
99.41;12-04-2020
99.46;11-04-2020
99.52;10-04-2020
99.52;09-04-2020
100.12;08-04-2020
99.9;07-04-2020
100.69;06-04-2020
100.65;05-04-2020
100.62;04-04-2020
100.58;03-04-2020
100.18;02-04-2020
99.67;01-04-2020
99.05;31-03-2020
99.18;30-03-2020
98.91;29-03-2020
98.63;28-03-2020
98.36;27-03-2020
99.35;26-03-2020
101.05;25-03-2020
102.04;24-03-2020
102.49;23-03-2020
102.6;22-03-2020
102.71;21-03-2020
102.82;20-03-2020
102.75;19-03-2020
101.16;18-03-2020
99.58;17-03-2020
98.07;16-03-2020
98.3;15-03-2020
98.52;14-03-2020
98.75;13-03-2020
